CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1087955,IPO,Vixel Corp,"Bothell, WA",VIXL,Nasdaq SC,1999-06-23,14,16,$40.0 mil.,"Robertson Stephens, Bear Stearns & Co., Needham & Company, E*TRADE Securities"
1088653,IPO,Agile Software Corp,"San Jose, CA",AGIL,Nasdaq NM,1999-06-23,18,20,$58.7 mil.,"Morgan Stanley, Deutsche Bank Securities, Chase H&Q"
1050808,IPO,Vitria Technology Inc,"Mountainview, CA",VITR,Nasdaq NM,1999-06-22,13,15,$75.0 mil.,"Credit Suisse, BofA Securities, Robertson Stephens, SoundView Financial Group Inc."
1087779,IPO,Netro Corp,"San Jose, CA",NTRO,Nasdaq NM,1999-06-22,7,9,$57.5 mil.,"BofA Securities, Robertson Stephens, Dain Rauscher Wessels"
1058299,IPO,Lionbridge Technologies Inc,"Waltham, MA",LIOX,Nasdaq NM,1999-06-21,11,12,$57.5 mil.,"Prudential Securities, Piper Jaffray, Adams Harkness Hill"
1087277,IPO,FreeShop.Com Inc,"Seattle, WA",FSHP,Nasdaq NM,1999-06-21,9,11,$46.0 mil.,"Deutsche Bank Securities, Dain Rauscher Wessels, Volpe Brown Whelan & Co., E*TRADE Securities"
1067026,IPO,Amiga Telephony Corp,"Vancouver, CANADA",,,1999-06-21,-,-,$5.50 mil.,
1087879,IPO,ShopNow.Com Inc,"Seattle, WA",SPNW,Nasdaq NM,1999-06-18,10,12,$86.3 mil.,"Dain Rauscher Wessels, Piper Jaffray, SoundView Financial Group Inc., Wit Soundview"
1088755,IPO,Interspeed Inc,"North Andover, MA",ISPD,Nasdaq NM,1999-06-18,10,12,$50.0 mil.,"Piper Jaffray, UBS Investment Bank, Tucker Anthony Inc., DLJ Direct"
1088820,IPO,Loislaw.com Inc,"Van Buren, AK",LOIS,Nasdaq NM,1999-06-18,10,12,$75.0 mil.,"Prudential Securities, Piper Jaffray, Dain Rauscher Wessels"
1089044,IPO,LaBranche & Co Inc,"New York, NY",LAB,NYSE,1999-06-18,15,17,$212.8 mil.,"Salomon Smith Barney, Donaldson Lufkin & Jenrette"
1088514,IPO,"Evertrust Financial Grounp, Inc.","Everett, WA",EVRT,Nasdaq NM,1999-06-18,10,10,$89.9 mil.,"Keefe, Bruyette & Woods"
1088116,IPO,Sunhawk.Com Corp,"Seattle, WA",SNHK,Nasdaq SC,1999-06-17,7,8,$11.0 mil.,"Coleman & Co., Oscar Gruss & Sons"
1088361,IPO,Deja.com Inc,"New York, NY",DEJA,Nasdaq NM,1999-06-17,-,-,$57.5 mil.,"Donaldson Lufkin & Jenrette, Chase H&Q, Thomas Weisel Partners LLC, DLJdirect Inc., Wit Soundview"
1086475,IPO,Hat World Corp,"Sioux Falls, SD",HATS,Nasdaq NM,1999-06-16,7,7,$11.9 mil.,EBI SECURITIES CORPORATI
