CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
179956,IPO,"DoubleDown Interactive Co., Ltd.","Seoul, KOREA, REPUBLIC OF",DDI,Nasdaq NM,2020-06-02,-,-,$100.0 mil.,"J.P. Morgan, BofA Securities, Macquarie Capital"
1805833,IPO,Trebia Acquisition Corp.,"New York, NY",TREB.U,NYSE,2020-06-01,10,-,$375.0 mil.,"Credit Suisse, BofA Securities, Moelis &  Company"
1799788,IPO,"Greenwich LifeSciences, Inc.","Stafford, TX",GLSI,Nasdaq NM,2020-06-01,-,-,$9.20 mil.,Aegis Capital Corp.
1538927,IPO,"Forma Therapeutics Holdings, Inc.","Watertown, MA",FMTX,Nasdaq NM,2020-05-29,-,-,$150.0 mil.,"Jefferies, SVB Leerink, Credit Suisse"
1808158,IPO,Repare Therapeutics Inc.,"St-Laurent, Québec, CANADA",RPTX,Nasdaq NM,2020-05-29,-,-,$100.0 mil.,"Morgan Stanley, Goldman Sachs & Co., Cowen, Piper Sandler"
1580063,IPO,"Progenity, Inc.","San Diego, CA",PROG,Nasdaq NM,2020-05-27,-,-,$100.0 mil.,"Piper Sandler, Wells Fargo Securities, Baird, Raymond James, BTIG"
1792267,IPO,Burning Rock Biotech Ltd,"Guangzhou, CHINA",BNR,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"Morgan Stanley, BofA Securities, Cowen, CMBI, Tiger Brokers"
1802768,IPO,Royalty Pharma plc,"New York, NY",,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"J.P. Morgan, Morgan Stanley, BofA Securities, Goldman Sachs & Co., Evercore ISI, Cowen, Citigroup, SunTrust Robinson Humphrey, UBS Investment Bank"
1649094,IPO,"Vaxcyte, Inc.","Foster City, CA",PCVX,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"BofA Securities, Jefferies, Evercore ISI, Cantor, Needham & Company"
1599901,IPO,"Avidity Biosciences, Inc.","La Jolla, CA",RNA,Nasdaq NM,2020-05-22,-,-,$100.0 mil.,"Cowen, SVB Leerink, Credit Suisse, Wells Fargo Securities"
1733294,IPO,Generation Bio Co.,"Cambridge, MA",GBIO,Nasdaq NM,2020-05-22,-,-,$125.0 mil.,"J.P. Morgan, Jefferies, Cowen, Wedbush PacGrow Life Sciences"
1803901,IPO,Hudson Executive Investment Corp.,"New York, NY",HEC,Nasdaq NM,2020-05-21,10,-,$300.0 mil.,"Citigroup, J.P. Morgan"
1805387,IPO,ARYA Sciences Acquisition Corp II,"New York, NY",ARYB,Nasdaq NM,2020-05-19,10,-,$125.0 mil.,"Jefferies, Goldman Sachs & Co."
1580864,IPO,"Vroom, Inc.","New York, NY",VRM,Nasdaq NM,2020-05-18,15,17,$100.0 mil.,"Goldman Sachs & Co., BofA Securities, Allen & Co. Inc., Wells Fargo Securities, Stifel, William Blair & Co., Baird, JMP Securities, Wedbush PacGrow Life Sciences"
180177,IPO,Applied Molecular Transport Inc.,"South San Francisco, CA",AMTI,Nasdaq NM,2020-05-18,12,14,$100.0 mil.,"BofA Securities, Jefferies, SVB Leerink"
1803914,IPO,Mountain Crest Acquisition Corp.,"New York, NY",MCAC,Nasdaq NM,2020-05-15,10,-,$50.0 mil.,Chardan Capital Markets
1794669,IPO,"Shift4 Payments, Inc.","Allentown, PA",FOUR,NYSE,2020-05-15,19,21,$100.0 mil.,"Citigroup, Credit Suisse, Goldman Sachs & Co., BofA Securities, Morgan Stanley, RBC Capital Markets, Evercore ISI, Raymond James, SunTrust Robinson Humphrey, Wolfe Capital Markets and Advisory, Citizens Capital Markets&#8203;, Scotiabank / Howard Weil, TD"
1795579,IPO,Calliditas Therapeutics AB,"Stockholm, SWEDEN",CALT,Nasdaq NM,2020-05-14,-,-,$86.3 mil.,"Citigroup, Jefferies, Stifel, Carnegie"
1801198,IPO,Legend Biotech Corp,"Somerset,, NJ",LEGN,Nasdaq NM,2020-05-13,18,20,$100.0 mil.,"Morgan Stanley, J.P. Morgan, Jefferies"
1793862,IPO,Dada Nexus Ltd,"Shanghai, CHINA",DADA,Nasdaq NM,2020-05-12,15,17,$100.0 mil.,"Goldman Sachs & Co., BofA Securities, Jefferies"
1792581,IPO,"Kiromic Biopharma, Inc.","Houston, TX",KRBP,NYSE,2020-05-11,-,-,$20.0 mil.,"ThinkEquity, LLC"
1746473,IPO,"Pliant Therapeutics, Inc.","South San Francisco, CA",PLRX,Nasdaq NM,2020-05-11,14,16,$110.4 mil.,"Citigroup, Cowen, Piper Sandler, Needham & Company"
1809104,IPO,Foley Trasimene Acquisition Corp.,"Las Vegas, NV",WPF.U,NYSE,2020-05-08,10,-,$750.0 mil.,"Credit Suisse, BofA Securities"
1775898,IPO,uCloudlink Group Inc.,"Kowloon, HONG KONG",UCL,Nasdaq NM,2020-05-04,18,20.5,$50.0 mil.,"I-Bankers Securities, Inc., Valuable Capital, Tiger Brokers, Loop Capital Markets, LLC"
1804176,IPO,Longview Acquisition Corp.,"New York, NY",LGVW,NYSE,2020-05-01,10,-,$300.0 mil.,"Cowen, UBS Investment Bank"
1800682,IPO,Jaws Acquisition Corp.,"Miami Beach, FL",JWS.U,NYSE,2020-04-28,10,-,$500.0 mil.,"Credit Suisse, Morgan Stanley, Citigroup"
1807707,IPO,Novus Capital Corp,"Indianapolis, IN",NOVSU,Nasdaq NM,2020-04-28,10,-,$100.0 mil.,Early Bird Capital
1799290,IPO,Ebang International Holdings Inc.,"Zhejiang, CHINA",EBON,Nasdaq NM,2020-04-24,-,-,$100.0 mil.,"AMTD Global Markets, Loop Capital Markets, LLC"
1771910,IPO,ADC Therapeutics SA,"Epalinges, SWITZERLAND",ADCT,NYSE,2020-04-24,16,18,$213.1 mil.,"Morgan Stanley, BofA Securities, Cowen"
1782309,IPO,Skillful Craftsman Education Technology Ltd,"Jiangsu Province, CHINA",NGJY,Nasdaq NM,2020-04-24,4.5,5.5,$19.0 mil.,"The Benchmark Company, Axiom Capital Management, Inc."
1805077,IPO,B. Riley Principal Merger Corp. II,"New York, NY",BMRG.U,NYSE,2020-04-23,10,-,$200.0 mil.,B. Riley FBR
1810140,IPO,1847 Goedeker Inc.,"Ballwin, MO",GOED,NYSE,2020-04-22,14,16,$11.5 mil.,"ThinkEquity, LLC"
1795589,IPO,Kingsoft Cloud Holdings Ltd,"Beijing, CHINA",KC,Nasdaq NM,2020-04-17,16,18,$517.5 mil.,"J.P. Morgan, UBS Investment Bank, Credit Suisse, CICC"
1763950,IPO,Lantern Pharma Inc.,"Dallas, TX",LTRN,Nasdaq NM,2020-04-16,15,17,$28.8 mil.,"ThinkEquity, LLC, Dougherty &  Company"
1784567,IPO,"Harbor Custom Development, Inc.","Gig Harbor, WA",HCD,NYSE,2020-03-31,6,8,$17.3 mil.,"ThinkEquity, LLC"
1799332,IPO,GAN Ltd,"London, UNITED KINGDOM",GAN,Nasdaq NM,2020-03-25,6.5,8.5,$35.0 mil.,"B. Riley FBR, Macquarie Capital , Craig-Hallum Capital Group"
1789299,IPO,UTime Ltd,"Shenzhen, CHINA",UTME,Nasdaq NM,2020-03-18,4,5,$21.6 mil.,"ViewTrade Securities, Inc."
1798562,IPO,Sustainable Opportunities Acquisition Corp.,"Dallas, TX",SOAC.U,NYSE,2020-03-17,10,-,$300.0 mil.,Citigroup
1664710,IPO,"Keros Therapeutics, Inc.","Lexington, MA",KROS,Nasdaq NM,2020-03-16,14,16,$86.3 mil.,"Jefferies, SVB Leerink, Piper Sandler, H.C. Wainwright & Co."
1787518,IPO,Brilliant Acquisition Corp,"Shanghai, CHINA",BRLIU,Nasdaq NM,2020-03-13,10,-,$40.0 mil.,Early Bird Capital
1580149,IPO,BioVie Inc.,"Los  Angeles, CA",BIVI,OTC BB,2020-03-11,-,-,$8.13 mil.,"ThinkEquity, LLC"
1799850,IPO,Chardan Healthcare Acquisition 2 Corp.,"New York, NY",CHAQ.U,NYSE,2020-03-09,10,-,$85.0 mil.,Chardan Capital Markets
1797336,IPO,"Ayala Pharmaceuticals, Inc.","Rehovot, ISRAEL",AYLA,Nasdaq NM,2020-03-06,14,16,$50.0 mil.,"Citigroup, Jefferies, Oppenheimer & Co. Inc., Raymond James"
1800347,IPO,CC Neuberger Principal Holdings I,"New York, NY",PCPL.U,NYSE,2020-03-06,10,-,$300.0 mil.,"Goldman Sachs & Co., BofA Securities"
1725160,IPO,"Zentalis Pharmaceuticals, LLC","New York, NY",ZNTL,Nasdaq NM,2020-03-06,16,18,$100.0 mil.,"Morgan Stanley, Jefferies, SVB Leerink, Guggenheim Securities"
1327273,IPO,"Lyra Therapeutics, Inc.","Watertown, MA",LYRA,Nasdaq NM,2020-03-06,14,16,$57.5 mil.,"BofA Securities, Jefferies, William Blair & Co., BTIG"
1801368,IPO,Fortress Value Acquisition Corp.,"New York, NY",FVAC.U,NYSE,2020-03-06,10,-,$300.0 mil.,"Deutsche Bank Securities, Morgan Stanley, RBC Capital Markets"
1646972,IPO,"Albertsons Companies, Inc.","Boise, ID",ACI,NYSE,2020-03-06,-,-,$100.0 mil.,"Goldman Sachs & Co., BofA Securities, Citigroup, J.P. Morgan, Deutsche Bank Securities, Credit Suisse, Barclays Capital, Morgan Stanley, BMO Capital Markets, Evercore ISI, Guggenheim Securities, Oppenheimer & Co. Inc., RBC Capital Markets, Telsey Advisory"
1796303,IPO,Roth CH Acquisition I Co,"Newport Beach, CA",ROCH,Nasdaq NM,2020-03-03,10,-,$75.0 mil.,"Roth Capital Partners, Craig-Hallum Capital Group"
1799611,IPO,Collective Growth Corp,"Austin, TX",CGROU,Nasdaq NM,2020-03-02,10,-,$150.0 mil.,Cantor
1779020,IPO,Live Oak Acquisition Corp,"Great Falls, VA",LOAK.U,NYSE,2020-03-02,10,-,$200.0 mil.,"Jefferies, BMO Capital Markets, BTIG"
1796280,IPO,"Oric Pharmaceuticals, Inc.","South San Francisco, CA",ORIC,Nasdaq NM,2020-02-28,14,16,$86.3 mil.,"J.P. Morgan, Citigroup, Jefferies, Guggenheim Securities"
1611052,IPO,"Procore Technologies, Inc.","Carpinteria, CA",PCOR,NYSE,2020-02-28,-,-,$100.0 mil.,"Goldman Sachs & Co., J.P. Morgan, Barclays Capital, Jefferies, Canaccord Genuity   , KeyBanc Capital Markets, Oppenheimer & Co. Inc., Piper Sandler, Stifel, William Blair & Co."
1783036,IPO,NLS Pharmaceutics Ltd.,"Stans, SWITZERLAND",NLSP,Nasdaq NM,2020-02-28,-,-,$40.3 mil.,"Maxim Group LLC, Arcadia Securities"
1481646,IPO,"Accolade, Inc.","Seattle, WA",ACCD,Nasdaq NM,2020-02-28,-,-,$100.0 mil.,"Goldman Sachs & Co., Morgan Stanley, BofA Securities, Piper Sandler, Credit Suisse, William Blair & Co., Baird, SVB Leerink"
1127537,IPO,Pulmonx Corp,"Redwood City, CA",LUNG,Nasdaq NM,2020-02-28,-,-,$86.3 mil.,"BofA Securities, Morgan Stanley, Stifel, Wells Fargo Securities, Canaccord Genuity"
1801170,IPO,Social Capital Hedosophia Holdings Corp. III,"Palo Alto, CA",IPOC.U,NYSE,2020-02-28,10,-,$600.0 mil.,Credit Suisse
1801169,IPO,Social Capital Hedosophia Holdings Corp. II,"Palo Alto, CA",IPOB.U,NYSE,2020-02-28,10,-,$300.0 mil.,Credit Suisse
1794515,IPO,ZoomInfo Technologies Inc.,"Vancouver, WA",ZI,Nasdaq NM,2020-02-26,16,18,$921.2 mil.,"J.P. Morgan, Morgan Stanley, Credit Suisse, Barclays Capital, BofA Securities, Deutsche Bank Securities, RBC Capital Markets, UBS Investment Bank, Wells Fargo Securities"
1802749,IPO,"GigCapital3, Inc.","Palo Alto, CA",GIK.U,NYSE,2020-02-25,10,-,$200.0 mil.,"Nomura Securities, Oppenheimer & Co. Inc., Odeon Capital Group"
1799191,IPO,DFP Healthcare Acquisitions Corp.,"New York, NY",DFPHU,Nasdaq NM,2020-02-21,10,-,$200.0 mil.,"Deutsche Bank Securities, Jefferies, UBS Investment Bank"
1794783,IPO,"SelectQuote, Inc.","Overland Park, KS",SLQT,NYSE,2020-02-21,17,19,$100.0 mil.,"Credit Suisse, Morgan Stanley, Evercore ISI, RBC Capital Markets, Barclays Capital, Citigroup, Jefferies, Cantor, Keefe, Bruyette & Woods, Piper Sandler, Drexel Hamilton"
1531048,IPO,"Inari Medical, Inc.","Irvine, CA",NARI,Nasdaq NM,2020-02-21,17,18,$100.0 mil.,"BofA Securities, Morgan Stanley, Canaccord Genuity   , Wells Fargo Securities"
1633369,IPO,"Freecast, Inc.","Orlando, FL",FCST,Nasdaq NM,2020-02-18,-,-,$17.3 mil.,"Alexander Capital, L.P."
1786842,IPO,Vontier Corp,"Raleigh, NC",VNT,NYSE,2020-02-14,-,-,$100.0 mil.,Goldman Sachs & Co.
1672619,IPO,IMARA Inc.,"Boston, MA",IMRA,Nasdaq NM,2020-02-14,16,18,$92.1 mil.,"Morgan Stanley, Citigroup, SVB Leerink"
1791100,IPO,"Cole Haan, Inc.","Greenland, NH",CLHN,Nasdaq NM,2020-02-14,-,-,$100.0 mil.,"BofA Securities, Morgan Stanley, J.P. Morgan, Goldman Sachs & Co., Jefferies, Baird, Cowen, Piper Sandler, Stifel"
1796129,IPO,LifeSci Acquisition Corp.,"New York, NY",LSACU,Nasdaq NM,2020-02-14,10,-,$57.5 mil.,Chardan Capital Markets
1801661,IPO,Flying Eagle Acquisition Corp.,"Los Angeles, CA",FEAC,NYSE,2020-02-11,10,-,$500.0 mil.,"Goldman Sachs & Co., Deutsche Bank Securities"
1782754,IPO,CPG Newco LLC,"Chicago, IL",AZEK,NYSE,2020-02-07,-,-,$100.0 mil.,"Barclays Capital, BofA Securities, Goldman Sachs & Co., Jefferies, Citigroup, Credit Suisse, Deutsche Bank Securities, RBC Capital Markets, B. Riley FBR, Baird, Stephens, Inc., Stifel, SunTrust Robinson Humphrey, William Blair & Co."
1319161,IPO,Warner Music Group Corp.,"New York, NY",WMG,Nasdaq NM,2020-02-06,23,26,$100.0 mil.,"Morgan Stanley, Credit Suisse, Goldman Sachs & Co., BofA Securities, Citigroup, J.P. Morgan, Barclays Capital, Evercore ISI, Guggenheim Securities, Macquarie Capital , Nomura Securities, RBC Capital Markets, SunTrust Robinson Humphrey, CIBC World Markets,"
1787297,IPO,"Passage BIO, Inc.","Philadelphia, PA",PASG,Nasdaq NM,2020-02-03,16,18,$207.0 mil.,"J.P. Morgan, Goldman Sachs & Co., Cowen, Chardan Capital Markets"
1793659,IPO,"dMY Technology Group, Inc.","Las Vegas, NV",DMYT.U,NYSE,2020-01-31,10,-,$200.0 mil.,"Goldman Sachs & Co., UBS Investment Bank"
1793229,IPO,Churchill Capital Corp III,"New York, NY",CCXX.U,NYSE,2020-01-26,10,-,$800.0 mil.,"Citigroup, Goldman Sachs & Co."
1794621,IPO,CITIC Capital Acquisition Corp.,"Beijing, CHINA",CCAC.U,NYSE,2020-01-22,10,-,$200.0 mil.,Credit Suisse
1793081,IPO,UTXO Acquisition Inc.,"Chicago, IL",UTXOU,Nasdaq NM,2020-01-21,10,-,$50.0 mil.,"Univest Securities, LLC"
1791405,IPO,"Goxus, Inc","Beijing, CHINA",GOXS,Nasdaq NM,2020-01-21,8,10,$17.3 mil.,"Network 1 Financial Securities, Inc."
178158,IPO,"JIANA Science and Technology Co., Ltd.","Shenzhen, CHINA",JANA,Nasdaq NM,2020-01-17,-,-,$10.0 mil.,"ViewTrade Securities, Inc."
1628171,IPO,"Revolution Medicines, Inc.","Redwood City, CA",RVMD,Nasdaq NM,2020-01-17,16,17,$273.7 mil.,"J.P. Morgan, Cowen, SVB Leerink, Guggenheim Securities"
1753162,IPO,Fathom Holdings Inc.,"Cary, NC",FTHM,Nasdaq NM,2020-01-17,-,-,$11.5 mil.,Roth Capital Partners
1760683,IPO,East Stone Acquisition Corp,"Burlington, MA",ESSCU,Nasdaq NM,2020-01-17,10,-,$100.0 mil.,"I-Bankers Securities, Inc."
1762459,IPO,Atotech Ltd,"West Midlands, UNITED KINGDOM",ATC,NYSE,2020-01-15,-,-,$100.0 mil.,"Citigroup, Credit Suisse, BofA Securities, J.P. Morgan, Barclays Capital, Deutsche Bank Securities, Jefferies, RBC Capital Markets, UBS Investment Bank, Baird, BMO Capital Markets, HSBC"
1490978,IPO,"Schrodinger, Inc.","New York, NY",SDGR,Nasdaq NM,2020-01-10,14,16,$184.0 mil.,"Morgan Stanley, BofA Securities, Jefferies, BMO Capital Markets"
1598674,IPO,Casper Sleep Inc.,"New York, NY",CSPR,NYSE,2020-01-10,12,13,$124.8 mil.,"Morgan Stanley, Goldman Sachs & Co., Jefferies, BofA Securities, UBS Investment Bank, Citigroup, Piper Sandler, Guggenheim Securities"
1554818,IPO,"Clip Interactive, LLC (Auddia Inc.)","Boulder, CO",AUDD,Nasdaq NM,2020-01-10,-,-,$15.9 mil.,"Network 1 Financial Securities, Inc."
1793294,IPO,"PPD, Inc.","Wilmington, NC",PPD,Nasdaq NM,2020-01-09,24,27,"$1,863.0 mil.","Barclays Capital, J.P. Morgan, Morgan Stanley, Goldman Sachs & Co., BofA Securities, Credit Suisse, Jefferies, UBS Investment Bank, Citigroup, Deutsche Bank Securities, Evercore ISI, HSBC, Mizuho Securities USA Inc., Baird, William Blair & Co."
1789029,IPO,InterPrivate Acquisition Corp.,"Greenbrae, CA",IPV.U,NYSE,2020-01-08,10,-,$175.0 mil.,"Early Bird Capital, I-Bankers Securities, Inc."
1787306,IPO,"Arcutis Biotherapeutics, Inc.","Westlake Village, CA",ARQT,Nasdaq NM,2020-01-06,15,17,$152.7 mil.,"Goldman Sachs & Co., Cowen, Guggenheim Securities, Cantor"
1630856,IPO,Professional Holding Corp.,"Coral Gables, FL",PFHD,Nasdaq NM,2020-01-06,19,21,$75.0 mil.,"Stephens, Inc., Keefe, Bruyette & Woods, Hovde Group, LLC"
1701541,IPO,"Black Diamond Therapeutics, Inc.","Cambridge, MA",BDTX,Nasdaq NM,2020-01-03,16,18,$184.2 mil.,"J.P. Morgan, Jefferies, Cowen, Canaccord Genuity"
1404123,IPO,1Life Healthcare Inc,"San Francisco, CA",ONEM,Nasdaq NM,2020-01-03,14,16,$322.0 mil.,"J.P. Morgan, Morgan Stanley, Allen & Co. Inc., Citigroup, Piper Jaffray, Wells Fargo Securities, William Blair & Co., Baird, SunTrust Robinson Humphrey"
1780262,IPO,Newborn Acquisition Corp,"Shanghai, CHINA",NBACU,Nasdaq NM,2020-01-03,10,-,$50.0 mil.,Chardan Capital Markets
1614824,IPO,"Avadim Health, Inc.","Asheville, NC",AHI,Nasdaq NM,2020-01-02,14,16,$92.0 mil.,"Raymond James, SunTrust Robinson Humphrey, Oppenheimer & Co. Inc., Maxim Group LLC"
1782941,IPO,TIAN RUIXIANG Holdings Ltd,"Beijing, CHINA",TIRX,Nasdaq NM,2019-12-27,4,4.5,$13.8 mil.,"Network 1 Financial Securities, Inc."
1790665,IPO,Greenrose Acquisition Corp,"Woodbury, NY",GRACU,Nasdaq NM,2019-12-27,10,-,$150.0 mil.,"Imperial Capital, I-Bankers Securities, Inc."
1651721,IPO,"Generation Income Properties, Inc.","Tampa, FL",GIPR,Nasdaq NM,2019-12-26,-,-,$15.0 mil.,Maxim Group LLC
1786248,IPO,"NexPoint Real Estate Finance, Inc.","Dallas, TX",NREF,NYSE,2019-12-24,19,21,$120.8 mil.,"Raymond James, Keefe, Bruyette & Woods, Baird"
1750106,IPO,HF Enterprises Inc.,"Bethesda, MD",HFEN,Nasdaq NM,2019-12-23,6,8,$23.9 mil.,"Westpark Capital, Inc."
1778347,IPO,AETSOFT,"Minsk, BELARUS",,OTC BB,2019-12-23,-,-,$25.0 mil.,
1794717,IPO,SCVX Corp.,"Washington, DC",SCVX.U,NYSE,2019-12-23,10,-,$200.0 mil.,Credit Suisse
1785880,IPO,LOHA Co. Ltd,"Shenzhen, CHINA",LOHA,Nasdaq NM,2019-12-09,5,7,$37.6 mil.,"Maxim Group LLC, Tiger Brokers, Valuable Capital, Prime Number Capital"
1758736,IPO,Molecular Data Inc.,"Shanghai, CHINA",MKD,Nasdaq NM,2019-12-06,5,7,$70.0 mil.,"AMTD Global Markets, Fosun Hani, Boustead Securities, Tiger Brokers"
1783398,IPO,"Gores Holdings IV, Inc.","Beverly Hills, CA",GHIV,Nasdaq NM,2019-12-05,10,-,$400.0 mil.,Deutsche Bank Securities
1791091,IPO,Healthcare Merger Corp.,"New York, NY",HCCOU,Nasdaq NM,2019-11-25,10,-,$200.0 mil.,Cantor
1782594,IPO,Genetron Holdings Ltd,"Beijing, CHINA",GTH,Nasdaq NM,2019-11-21,-,-,$100.0 mil.,"Credit Suisse, CICC"
1785566,IPO,Zhongchao Inc.,"Shanghai, CHINA",ZCMD,Nasdaq NM,2019-11-21,4,4.5,$15.0 mil.,"Network 1 Financial Securities, Inc."
1790625,IPO,LIV Capital Acquisition Corp.,"CDMX, C.P., MEXICO",LIVKU,Nasdaq NM,2019-11-20,10,-,$69.0 mil.,Early Bird Capital
1786352,IPO,"Bill.com Holdings, Inc.","Palo Alto, CA",BILL,NYSE,2019-11-15,19,21,$182.6 mil.,"Goldman Sachs & Co., BofA Securities, Jefferies, KeyBanc Capital Markets, Canaccord Genuity   , Needham & Company, William Blair & Co."
1786431,IPO,Reynolds Consumer Products Inc.,"Lake Forest, IL",REYN,Nasdaq NM,2019-11-15,25,28,"$1,518.9 mil.","Credit Suisse, Goldman Sachs & Co., J.P. Morgan, Barclays Capital, Citigroup, Evercore ISI, RBC Capital Markets, HSBC, Stifel, SunTrust Robinson Humphrey"
1787425,IPO,XP Inc.,"São Paulo, BRAZIL",XP,Nasdaq NM,2019-11-15,22,25,"$2,084.7 mil.","Goldman Sachs & Co., J.P. Morgan, Morgan Stanley, XP Investments, Itaú BBA, BofA Securities, Citigroup, Credit Suisse, UBS Investment Bank"
1786485,IPO,"CDP Holdings, Ltd","Shanghai, CHINA",CDP,NYSE,2019-11-15,-,-,$125.0 mil.,"BofA Securities, Citigroup, Haitong International"
1780531,IPO,OneConnect Financial Technology Co. Ltd.,"Shenzhen, Guangdong, CHINA",OCFT,Nasdaq NM,2019-11-13,9,10,$79.6 mil.,"Morgan Stanley, Goldman Sachs (Asia), J.P. Morgan, Ping An of China Securities, BofA Securities, HSBC, CLSA Asia-Pacific Markets, KeyBanc Capital Markets"
1776067,IPO,Oriental Culture Holding LTD,"Nanjing City, CHINA",DFWH,Nasdaq NM,2019-11-12,4,-,$23.0 mil.,"ViewTrade Securities, Inc."
1787462,IPO,"F5 Finishes, Inc","Livermore, CA",FLRZ,Nasdaq NM,2019-11-07,5,-,$46.0 mil.,"Maxim Group LLC, Zelman Partners LLC, Sanders Morris Harris"
1779578,IPO,Qilian International Holding Group Ltd,"Jiuquan City, ",QLI,NYSE,2019-11-04,5,7,$32.2 mil.,"Univest Securities, LLC, Loop Capital Markets, LLC"
1784535,IPO,PropTech Acquisition Corp,"Wilson, WY",PTACU,Nasdaq NM,2019-11-04,10,-,$150.0 mil.,Cantor
1781115,IPO,Alussa Energy Acquisition Corp.,"Grand Cayman, CAYMAN ISLANDS",ALUSU,NYSE,2019-11-01,10,-,$225.0 mil.,BTIG
1647170,IPO,"Tapinator, Inc.","New York, NY",TAPM,Nasdaq NM,2019-10-31,6,-,$13.8 mil.,"ThinkEquity, LLC"
1785041,IPO,CHP Merger Corp.,"Summit, NJ",CHPMU,Nasdaq NM,2019-10-31,10,-,$250.0 mil.,"J.P. Morgan, Credit Suisse, Morgan Stanley"
1759783,IPO,EHang Holdings Ltd,"Guangzhou, CHINA",EH,Nasdaq NM,2019-10-31,12.5,14.5,$100.0 mil.,"Morgan Stanley, Credit Suisse, Needham & Company, Tiger Brokers"
1786511,IPO,"AnPac Bio-Medical Science Co., Ltd.","Lishui, CHINA",ANPC,Nasdaq NM,2019-10-31,12,14,$20.0 mil.,"Westpark Capital, Inc., Univest Securities, LLC"
1778630,IPO,Meili Auto Holdings Ltd,"Beijing, CHINA",ML,NYSE,2019-10-30,-,-,$100.0 mil.,"UBS Investment Bank, Deutsche Bank Securities, Nomura Securities, CICC, Needham & Company, Tiger Brokers"
1778016,IPO,I-Mab,"Shanghai, CHINA",IMAB,Nasdaq NM,2019-10-29,12,15,$127.8 mil.,"Jefferies, CICC, China Renaissance Securities, Huatai Securities (USA)"
1785154,IPO,Phoenix Tree Holdings Ltd,"Beijing, CHINA",DNK,NYSE,2019-10-28,14.5,16.5,$201.1 mil.,"Citigroup, Credit Suisse, J.P. Morgan, Tiger Brokers"
1780652,IPO,Canaan Inc.,"Hangzhou, CHINA",CAN,Nasdaq NM,2019-10-28,9,11,$400.0 mil.,"Credit Suisse, Citigroup, China Renaissance Securities, CMBI, Galaxy Digital, Huatai Securities (USA), Tiger Brokers"
1783407,IPO,LIZHI Inc.,"Guangzho, CHINA",LIZI,Nasdaq NM,2019-10-28,11,13,$61.3 mil.,"Citigroup, Haitong International, Tiger Brokers, Needham & Company, AMTD Tiger"
1784058,IPO,Pony Group Inc.,"Shenzhen, CHINA",,OTC BB,2019-10-28,0.1,-,$0.250 mil.,
1776909,IPO,Software Acquisition Group Inc.,"Las Vegas, NV",SAQNU,Nasdaq NM,2019-10-25,10,-,$125.0 mil.,B. Riley FBR
1788028,IPO,Amplitude Healthcare Acquisition Corp,"New York, NY",AMHCU,Nasdaq NM,2019-10-25,10,-,$100.0 mil.,"BMO Capital Markets, SVB Leerink"
1517375,IPO,"Sprout Social, Inc.","Chicago, IL",SPT,Nasdaq NM,2019-10-25,16,18,$182.6 mil.,"Goldman Sachs & Co., Morgan Stanley, KeyBanc Capital Markets, William Blair & Co., Canaccord Genuity   , Stifel"
1752234,IPO,YX Asset Recovery Ltd,"Changsha, CHINA",YXR,NYSE,2019-10-23,7.75,9.75,$104.1 mil.,"Deutsche Bank Securities, CMBI, Raymond James, AMTD Global Markets, SunTrust Robinson Humphrey, Everbright Sun Hung Kai, Wedbush Securities, Inc., Prime Number Capital, Fortune (HK) Securities Limited"
1786117,IPO,"Alpine Income Property Trust, Inc.","Daytona Beach, FL",PINE,NYSE,2019-10-23,19,21,$100.0 mil.,"Raymond James, Baird, B. Riley FBR, BMO Capital Markets, Janney Montgomery Scott, LLC, D.A. Davidson & Co."
1451809,IPO,SiTime Corp.,"Santa Clara, CA",SITM,Nasdaq NM,2019-10-23,13,15,$74.2 mil.,"Barclays Capital, Stifel, Needham & Company, Raymond James, Roth Capital Partners"
1788841,IPO,GreenVision Acquisition Corp.,"Shanghai, CHINA",GRNVU,Nasdaq NM,2019-10-21,10,-,$50.0 mil.,"I-Bankers Securities, Inc."
178779,IPO,"Juniper Industrial Holdings, Inc.","Chatham, NJ",JIH.U,NYSE,2019-10-18,10,-,$300.0 mil.,UBS Investment Bank
1692376,IPO,"Velocity Financial, LLC","Westlake Village, CA",VEL,NYSE,2019-10-18,14,16,$133.4 mil.,"Wells Fargo Securities, Citigroup, JMP Securities, Raymond James"
1561921,IPO,"TELA Bio, Inc.","Malvern, PA",TELA,Nasdaq NM,2019-10-15,14,16,$73.6 mil.,"Jefferies, Piper Jaffray, Canaccord Genuity   , JMP Securities"
1757097,IPO,Centogene B.V.,"Rostock, GERMANY",CNTG,Nasdaq NM,2019-10-11,14,16,$73.6 mil.,"SVB Leerink, Evercore ISI, BTIG, Baird"
1770236,IPO,"Moving iMage Technologies, Inc.","Fountain Valley, CA",MITQ,NYSE,2019-10-11,4,4.5,$10.9 mil.,"Westpark Capital, Inc., Boustead Securities"
